Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,Indicator Label,Indicator Category Label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,54.0088,9.8584,11.7461,166,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,23.3748,7.9317,9.4505,166,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,7.2297,4.2711,5.089,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,7.2297,4.2711,5.089,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,24.8273,7.3206,8.7224,115,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,51.4271,8.6085,10.257,115,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,16.5159,6.5649,7.822,115,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,6.8262,2.0458,2.4376,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,6.8262,2.0458,2.4376,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,23.0143,7.1761,8.5502,94,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,57.3986,8.742,10.416,94,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,12.7609,5.6908,6.7805,94,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,4.6573,3.5984,4.2874,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,4.6573,3.5984,4.2874,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,20.4337,10.2841,12.2534,90,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,51.5191,11.2101,13.3567,90,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,23.3899,10.2379,12.1983,90,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,7.3059,2.0396,2.4302,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,,,,669,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,11,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,,,,11,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,11,1
RSV,Substate,Illinois-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,5.9776,1.184,1.4107,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,5.9776,1.184,1.4107,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,21.6472,4.5475,5.4183,314,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,48.1137,5.545,6.6068,314,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,24.2615,4.9326,5.8771,314,0
RSV,Substate,New York-New York City,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,2.7058,1.6957,2.0204,283,0
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,,,,283,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,8,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,,,,8,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,8,1
RSV,Substate,New York-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,5.2946,2.4955,2.9734,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,5.2946,2.4955,2.9734,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,18.3062,7.03,8.3762,91,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,54.954,9.9523,11.858,91,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,21.4452,8.0537,9.5959,91,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,3.4756,1.0191,1.2143,1305,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,,,,1305,1
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,22,1
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,,,,22,1
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,,,,22,1
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,3.7912,0.755,0.8996,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,3.7912,0.755,0.8996,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,21.5437,12.6406,15.0611,58,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,55.7627,15.1485,18.0493,58,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,18.9024,11.6192,13.8442,58,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,8.7285,2.1525,2.5647,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,8.7285,2.1525,2.5647,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,24.2636,8.6579,10.3158,73,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,47.6971,10.3105,12.2849,73,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,19.3108,8.448,10.0657,73,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,6.8262,2.0458,2.4376,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,6.8262,2.0458,2.4376,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,23.1033,11.386,13.5664,57,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,52.0801,12.5125,14.9085,57,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,17.9905,8.5635,10.2034,57,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,7.7964,2.1304,2.5383,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,7.7964,2.1304,2.5383,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,14.3168,9.3233,11.1087,69,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,59.0369,15.7777,18.799,69,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,18.8499,12.2717,14.6217,69,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,7.6029,2.0992,2.5011,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,7.6029,2.0992,2.5011,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,31.4237,15.7724,18.7927,38,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,48.0358,16.2179,19.3234,38,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,12.9376,10.6483,12.6874,38,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,6.446,1.2013,1.4314,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,6.446,1.2013,1.4314,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,23.8897,5.9126,7.0448,199,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,49.1985,6.8767,8.1936,199,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,20.4658,5.138,6.1218,199,0
RSV,Substate,New York-New York City,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,2.7058,1.6957,2.0204,283,0
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,,,,283,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,,,,22,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,,,,22,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,,,,22,1
RSV,Substate,New York-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,5.6816,1.9159,2.2828,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,5.6816,1.9159,2.2828,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,24.0433,11.1196,13.2488,88,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,41.6481,10.7485,12.8068,88,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,28.627,10.7185,12.771,88,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,4.5047,1.3786,1.6425,1305,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,4.5047,1.3786,1.6425,1305,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,21.746,10.7664,12.828,56,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,55.2214,13.6477,16.2611,56,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,18.5279,10.9482,13.0447,56,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,4.3117,0.9871,1.1761,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,4.3117,0.9871,1.1761,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,18.8708,8.6452,10.3007,90,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,57.5222,12.1732,14.5042,90,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,19.2953,8.8502,10.5449,90,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,8.9399,1.6774,1.9986,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,8.9399,1.6774,1.9986,1529,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,20.1592,7.277,8.6704,88,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,47.5716,9.4751,11.2895,88,0
RSV,Substate,Texas-Bexar County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,23.3293,8.202,9.7726,88,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,7.0546,1.7443,2.0783,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,7.0546,1.7443,2.0783,1083,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,17.6587,7.8908,9.4018,66,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,51.7555,11.028,13.1398,66,0
RSV,Substate,Texas-City of Houston,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,23.5313,10.1054,12.0405,66,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 3,10/14/2023 12:00:00 AM,10.8311,2.5052,2.985,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/14/2023 12:00:00 AM,10.8311,2.5052,2.985,1498,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/14/2023 12:00:00 AM,23.9894,14.655,17.4613,85,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,10/14/2023 12:00:00 AM,44.9371,16.971,20.2208,85,0
RSV,Substate,Texas-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/14/2023 12:00:00 AM,20.2424,11.7113,13.9539,85,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,Up-to-date,Yes,October Week 4,10/21/2023 12:00:00 AM,7.7016,2.0974,2.499,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/21/2023 12:00:00 AM,7.7016,2.0974,2.499,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/21/2023 12:00:00 AM,29.5688,10.5417,12.5603,53,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 4,10/21/2023 12:00:00 AM,52.0463,12.6938,15.1245,53,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/21/2023 12:00:00 AM,10.6832,8.2144,9.7873,53,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 4,10/21/2023 12:00:00 AM,6.69,1.1847,1.4116,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/21/2023 12:00:00 AM,6.69,1.1847,1.4116,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/21/2023 12:00:00 AM,23.517,6.36,7.5778,170,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 4,10/21/2023 12:00:00 AM,43.0383,7.8676,9.3741,170,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/21/2023 12:00:00 AM,26.7546,7.6849,9.1565,170,0
RSV,Substate,New York-New York City,Overall,60+ years,Up-to-date,Yes,October Week 4,10/21/2023 12:00:00 AM,2.7058,1.6957,2.0204,283,0
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/21/2023 12:00:00 AM,,,,283,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/21/2023 12:00:00 AM,,,,20,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 4,10/21/2023 12:00:00 AM,,,,20,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/21/2023 12:00:00 AM,,,,20,1
RSV,Substate,New York-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 4,10/21/2023 12:00:00 AM,9.5245,3.902,4.6492,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/21/2023 12:00:00 AM,9.5245,3.902,4.6492,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/21/2023 12:00:00 AM,25.25,11.3195,13.487,68,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 4,10/21/2023 12:00:00 AM,45.6603,11.8138,14.076,68,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/21/2023 12:00:00 AM,19.5652,10.0233,11.9426,68,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,Up-to-date,Yes,October Week 4,10/21/2023 12:00:00 AM,5.8292,2.0291,2.4177,1305,0
